Opponent,Opp Score,Team Score,Opp Final,Team Final,Free Throws,Free Throws Under 2 Minutes
 GCU,65,43,67,51,30,5
 UNLV,106,60,108,66,39,2
 MIA,85,52,90,59,28,0
 MSST,74,41,79,48,21,2
 ALBS,74,41,79,48,21,2
 NDSU,76,59,80,66,34,3
 GB,54,49,57,50,44,6
 SFA,74,62,79,63,48,2
 TEX,78,54,82,58,38,3
 MURR,77,56,80,59,32,5
 MER,82,61,82,64,32,0
 UNF,82,61,82,64,32,0
 SOU,63,48,68,50,46,3
 GT,78,44,79,54,42,4
 FOR,69,66,79,69,34,8
 BALL,71,50,75,54,33,2
 HOW,71,50,75,54,33,2
 MORG,83,62,87,68,48,8
 COPP,83,62,87,68,48,8
